GameCode,CashItemID,ItemName,IconID,ItemDesc,CashItemInfoType,ClassTabType,ItemTabType,ItemButtonType,ItemSetType,ItemSetNO,ItemID01,BuyCostCash,DiscountCostCash,Status
40,420400042,Treasure Box Key X 10,20301176,KEY,0,0,3,4,2,0,420400004,100,0,1
40,420400045,Treasure Box Key X 50,20301176,KEY,0,0,3,4,2,0,420400004,899,0,1
40,420340611,Inventory Expansion Scroll  X 1,20301054,Premium extended scrolls,0,0,3,2,2,0,420340061,200,0,1
40,420340621,Storage Expansion Scroll  X 1,20301055,Premium extended scrolls,0,0,3,2,2,0,420340062,200,0,1
40,420340011,Lowest Enchant Rate Increasing Scroll  X 1,20301001,Premium strengthen the scrolls,0,0,3,2,2,0,420340001,25,0,1
40,420340021,Low Enchant Rate Increasing Scroll  X 1,20301002,Premium strengthen the scrolls,0,0,3,2,2,0,420340002,50,0,1
40,420340041,High Enchant Rate Increasing Scroll  X 1,20301004,Premium strengthen the scrolls,0,0,3,2,2,0,420340004,100,0,1
40,420340051,Highest Enchant Rate Increasing Scroll  X 1,20301005,Premium strengthen the scrolls,0,0,3,2,2,0,420340005,125,0,1
40,420340012,Lowest Enchant Rate Increasing Scroll  X 10,20301001,Premium strengthen the scrolls,0,0,3,2,2,0,420340001,225,0,1
40,420340022,Low Enchant Rate Increasing Scroll  X 10,20301002,Premium strengthen the scrolls,0,0,3,2,2,0,420340002,450,0,1
40,420340042,High Enchant Rate Increasing Scroll  X 10,20301004,Premium strengthen the scrolls,0,0,3,2,2,0,420340004,900,0,1
40,420340052,Highest Enchant Rate Increasing Scroll  X 10,20301005,Premium strengthen the scrolls,0,0,3,2,2,0,420340005,1125,0,1
40,420340013,Lowest Enchant Rate Increasing Scroll  X 20,20301001,Premium strengthen the scrolls,0,0,3,2,2,0,420340001,450,0,1
40,420340023,Low Enchant Rate Increasing Scroll  X 20,20301002,Premium strengthen the scrolls,0,0,3,2,2,0,420340002,900,0,1
40,420340043,High Enchant Rate Increasing Scroll  X 20,20301004,Premium strengthen the scrolls,0,0,3,2,2,0,420340004,1800,0,1
40,420340053,Highest Enchant Rate Increasing Scroll  X 20,20301005,Premium strengthen the scrolls,0,0,3,2,2,0,420340005,2250,0,1
40,420340121,Ancient Enchant Level Down Protection Scroll  X 1,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340012,175,0,1
40,420340122,Ancient Enchant Level Down Protection Scroll  X 10,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340012,1575,0,1
40,420340123,Ancient Enchant Level Down Protection Scroll  X 20,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340012,3150,0,1
40,420340131,Lowest Special Enchant Rate Increasing Scroll  X 1,20301013,Premium strengthen the scrolls,0,0,3,2,2,0,420340013,0,0,0
40,420340141,Low Special Enchant Rate Increasing Scroll  X 1,20301014,Premium strengthen the scrolls,0,0,3,2,2,0,420340014,0,0,0
40,420340151,Special Enchant Rate Increasing Scroll  X 1,20301015,Premium strengthen the scrolls,0,0,3,2,2,0,420340015,0,0,0
40,420340161,High Special Enchant Rate Increasing Scroll  X 1,20301016,Premium strengthen the scrolls,0,0,3,2,2,0,420340016,0,0,0
40,420340171,Highest Special Enchant Rate Increasing Scroll  X 1,20301017,Premium strengthen the scrolls,0,0,3,2,2,0,420340017,0,0,0
40,420340181,Ancient Special Enchant Rate Increasing Scroll  X 1,20301018,Premium strengthen the scrolls,0,0,3,2,2,0,420340018,0,0,0
40,420340132,Lowest Special Enchant Rate Increasing Scroll  X 10,20301013,Premium strengthen the scrolls,0,0,3,2,2,0,420340013,0,0,0
40,420340142,Low Special Enchant Rate Increasing Scroll  X 10,20301014,Premium strengthen the scrolls,0,0,3,2,2,0,420340014,0,0,0
40,420340152,Special Enchant Rate Increasing Scroll  X 10,20301015,Premium strengthen the scrolls,0,0,3,2,2,0,420340015,0,0,0
40,420340162,High Special Enchant Rate Increasing Scroll  X 10,20301016,Premium strengthen the scrolls,0,0,3,2,2,0,420340016,0,0,0
40,420340172,Highest Special Enchant Rate Increasing Scroll  X 10,20301017,Premium strengthen the scrolls,0,0,3,2,2,0,420340017,0,0,0
40,420340182,Ancient Special Enchant Rate Increasing Scroll  X 10,20301018,Premium strengthen the scrolls,0,0,3,2,2,0,420340018,0,0,0
40,420340133,Lowest Special Enchant Rate Increasing Scroll  X 20,20301013,Premium strengthen the scrolls,0,0,3,2,2,0,420340013,0,0,0
40,420340143,Low Special Enchant Rate Increasing Scroll  X 20,20301014,Premium strengthen the scrolls,0,0,3,2,2,0,420340014,0,0,0
40,420340153,Special Enchant Rate Increasing Scroll  X 20,20301015,Premium strengthen the scrolls,0,0,3,2,2,0,420340015,0,0,0
40,420340163,High Special Enchant Rate Increasing Scroll  X 20,20301016,Premium strengthen the scrolls,0,0,3,2,2,0,420340016,0,0,0
40,420340173,Highest Special Enchant Rate Increasing Scroll  X 20,20301017,Premium strengthen the scrolls,0,0,3,2,2,0,420340017,0,0,0
40,420340183,Ancient Special Enchant Rate Increasing Scroll  X 20,20301018,Premium strengthen the scrolls,0,0,3,2,2,0,420340018,0,0,0
40,420340191,Lowest Special Enchant Failure Prevention Scroll  X 1,20301042,Premium strengthen the scrolls,0,0,3,2,2,0,420340019,0,0,0
40,420340201,Low Special Enchant Failure Prevention Scroll  X 1,20301043,Premium strengthen the scrolls,0,0,3,2,2,0,420340020,0,0,0
40,420340211,Special Enchant Failure Prevention Scroll  X 1,20301044,Premium strengthen the scrolls,0,0,3,2,2,0,420340021,0,0,0
40,420340221,High Special Enchant Failure Prevention Scroll  X 1,20301045,Premium strengthen the scrolls,0,0,3,2,2,0,420340022,0,0,0
40,420340231,Highest Special Enchant Failure Prevention Scroll  X 1,20301046,Premium strengthen the scrolls,0,0,3,2,2,0,420340023,0,0,0
40,420340241,Ancient Special Enchant Failure Prevention Scroll  X 1,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340024,0,0,0
40,420340192,Lowest Special Enchant Failure Prevention Scroll  X 10,20301042,Premium strengthen the scrolls,0,0,3,2,2,0,420340019,0,0,0
40,420340202,Low Special Enchant Failure Prevention Scroll  X 10,20301043,Premium strengthen the scrolls,0,0,3,2,2,0,420340020,0,0,0
40,420340212,Special Enchant Failure Prevention Scroll  X 10,20301044,Premium strengthen the scrolls,0,0,3,2,2,0,420340021,0,0,0
40,420340222,High Special Enchant Failure Prevention Scroll  X 10,20301045,Premium strengthen the scrolls,0,0,3,2,2,0,420340022,0,0,0
40,420340232,Highest Special Enchant Failure Prevention Scroll  X 10,20301046,Premium strengthen the scrolls,0,0,3,2,2,0,420340023,0,0,0
40,420340242,Ancient Special Enchant Failure Prevention Scroll  X 10,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340024,0,0,0
40,420340193,Lowest Special Enchant Failure Prevention Scroll  X 20,20301042,Premium strengthen the scrolls,0,0,3,2,2,0,420340019,0,0,0
40,420340203,Low Special Enchant Failure Prevention Scroll  X 20,20301043,Premium strengthen the scrolls,0,0,3,2,2,0,420340020,0,0,0
40,420340213,Special Enchant Failure Prevention Scroll  X 20,20301044,Premium strengthen the scrolls,0,0,3,2,2,0,420340021,0,0,0
40,420340223,High Special Enchant Failure Prevention Scroll  X 20,20301045,Premium strengthen the scrolls,0,0,3,2,2,0,420340022,0,0,0
40,420340233,Highest Special Enchant Failure Prevention Scroll  X 20,20301046,Premium strengthen the scrolls,0,0,3,2,2,0,420340023,0,0,0
40,420340243,Ancient Special Enchant Failure Prevention Scroll  X 20,20301047,Premium strengthen the scrolls,0,0,3,2,2,0,420340024,0,0,0
40,420340251,Extraction Booster Scroll(Normal)  X 1,20301025,Premium disassemble scrolls,0,0,3,2,2,0,420340025,25,0,1
40,420340261,Extraction Booster Scroll(Magic)  X 1,20301026,Premium disassemble scrolls,0,0,3,2,2,0,420340026,50,0,1
